"method","difference","SE","CI95_low","CI95_high","ARL0_rob_low","ARL0_rob_high","ARL0_classical","correlation","n_replicates"
"no pareado",-0.000105,8.4361104176919e-05,-0.000270347764186761,6.03477641867612e-05,1265.26580489408,2175.55778496487,1369.86301369863,NA,2000
"pareado",-0.000105,5.97601299912265e-05,-0.000222198663801871,1.21986638018711e-05,1347.348154573,1969.2740619529,1369.86301369863,0.502731424793391,2000
