"seed","UCL_rob","det_rob","fa_rob","inflation","weight_ratio","six_lowest_ok"
1001,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1002,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1003,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1004,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1005,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1006,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1007,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1008,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1009,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
1010,19.6928514338751,20,0,16.1350707650745,6.43940251603392,TRUE
