"K","N_rep","total_batches","false_alarms","FAR","SE_FAR","ARL0","ARL0_CI95_low","ARL0_CI95_high","UCL"
30,2000,2e+05,125,0.000625,5.85781802517012e-05,1600,1342.89603379661,1922.17314919057,19.6928514338751
50,2000,2e+05,111,0.000555,5.49772566555907e-05,1801.8018018018,1496.19257452598,2190.26077205661,19.1941112958182
100,2000,2e+05,133,0.000665,5.83574356457476e-05,1503.75939849624,1268.87423598056,1796.00732146983,18.8273963500816
200,2000,2e+05,115,0.000575,5.34894200663039e-05,1739.13043478261,1448.85452657432,2106.49835839637,18.6463515265295
500,2000,2e+05,123,0.000615,5.64577828170777e-05,1626.0162601626,1362.80239225415,1956.46808636042,18.5384553735853
