"phase1","phase2","UCL_rob","weight_ratio","center_drift_SD","det_rob","fa_rob","det_cls","fa_cls","T2_median_healthy","T2_median_faulty"
"IDV 7","IDV 7",19.6928514338751,6.43940251603392,0.0613997328373689,20,0,2,0,2.55867408878327,88.6955804883969
"IDV 7","IDV 1",19.6928514338751,6.43940251603392,0.0613997328373689,20,0,20,0,2.55867408878327,1123.82491223586
"IDV 1","IDV 7",19.6928514338751,7.0850811597119,0.816741425432769,14,6,2,0,20.8154107962465,26.3599155529416
"IDV 1","IDV 1",19.6928514338751,7.0850811597119,0.816741425432769,20,6,20,0,20.8154107962465,693.430431509202
