"scenario","shift_SD","factor_cov","n_in_lowest","SE_n_in_lowest","chance","ratio_w","SE_ratio_w","D_simple","D_weighted","gain_D","SE_gain_D","CI95_D_low","CI95_D_high","FAR_simple","FAR_weighted","FAR_difference","SE_FAR_difference","CI95_FAR_low","CI95_FAR_high","TPR_simple","TPR_weighted","gain_TPR","SE_gain_TPR","CI95_TPR_low","CI95_TPR_high"
"0. Limpia (control negativo)",0,1,1.187,0.0191363162416294,1.2,1.0411962451053,0.00523847544865684,0.0943703828668316,0.10514923461778,-0.0107788517509486,0.00053054906298821,-0.0118187279144055,-0.00973897558749176,0.00072,0.000805,8.5e-05,3.6359985207122e-05,1.37344289940409e-05,0.000156265571005959,0.905405,0.904195,-0.00121,0.00049172029083841,-0.00217377177004329,-0.000246228229956717
"1. Atipicos internos (paper)",0,1,2.7385,0.0247964979009956,1.2,1.57896592991961,0.0124611221487664,0.111560767810888,0.108160847355994,0.00339992045489409,0.000781869235992421,0.00186745675234895,0.00493238415743924,0.00068,0.00066,-2e-05,4.0627888360784e-05,-9.96306611871366e-05,5.96306611871366e-05,0.82659,0.869685,0.043095,0.00105417794184214,0.0410288112339894,0.0451611887660106
"2. Desplazamiento puro 1 SD",1,1,1.19,0.0197267476357899,1.2,1.03704665977373,0.00508897981436028,0.254786555979113,0.258574908672956,-0.0037883526938433,0.00106132366826246,-0.00586854708363773,-0.00170815830404888,0.005265,0.006525,0.00126,0.000188478014582578,0.000890583091418147,0.00162941690858185,0.62353,0.621625,-0.001905,0.00182509615513478,-0.00548218846406416,0.00167218846406416
"3. Desplazamiento puro 3 SD",3,1,1.19,0.0197267476357899,1.2,1.03704665977373,0.00508897981436028,0.722808687797963,0.725218341783905,-0.00240965398594207,0.00292503064709291,-0.00814271405424417,0.00332340608236003,0.253535,0.28048,0.026945,0.00391016024787758,0.0192810859141599,0.03460891408584,0.05127,0.074045,0.022775,0.00160524549338941,0.0196287188329567,0.0259212811670433
"4. Desplazamiento puro 6 SD",6,1,1.19,0.0197267476357899,1.2,1.03704665977373,0.00508897981436028,1.43738166516824,1.44066671028572,-0.00328504511747253,0.0057945842211623,-0.0146424301909506,0.00807233995600559,0.989535,0.949905,-0.03963,0.00197056416073057,-0.0434923057550319,-0.0357676942449681,0.005415,0.04507,0.039655,0.00270165966953371,0.0343597470477139,0.0449502529522861
"5. Desplaz. 3 SD + covarianza x2",3,2,3.9265,0.0210302165943435,1.2,2.0823924902106,0.0104769508973137,0.724237924696935,0.414321021692503,0.309916903004432,0.00186055699114967,0.306270211301779,0.313563594707085,0.18934,0.020035,-0.169305,0.00187996026894358,-0.172989722127129,-0.165620277872871,0.03277,0.301265,0.268495,0.00339491608366209,0.261840964476022,0.275149035523978
