"Limit","FAR","SE_FAR","ARL0","FA_total","n_batches"
"Robusto F con K (actual)",0.000625,5.55088111389267e-05,1600,125,2e+05
"Robusto F con K_eff (Satterthwaite)",0.000545,5.22288371085635e-05,1834.8623853211,109,2e+05
