"phase1","center_estimator","K","N_rep","total_batches","false_alarms","FAR","SE_FAR","ARL0","ARL0_CI95_low","ARL0_CI95_high","UCL"
"clean","mean",30,2000,2e+05,125,0.000625,5.85781802517012e-05,1600,1342.89603379661,1922.17314919057,19.6928514338751
"clean","spatial_median",30,2000,2e+05,142,0.00071,6.28484284806012e-05,1408.45070422535,1194.95673817366,1672.16507894831,19.6928514338751
"contaminated","mean",30,2000,2e+05,140,7e-04,6.00566682534159e-05,1428.57142857143,1210.61351844192,1698.21711744855,19.6928514338751
"contaminated","spatial_median",30,2000,2e+05,122,0.00061,5.62630675166507e-05,1639.34426229508,1372.98354337573,1974.06812077185,19.6928514338751
