"Limit","FAR","SE_FAR","ARL0","FA_total","n_batches"
"Robusto F (m*)",0.000625,5.55088111389267e-05,1600,125,2e+05
"Clasico (Montgomery)",0.00073,6.35261189109798e-05,1369.86301369863,146,2e+05
